image_path,target
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Cvekje\Cvekje6.jpg,8.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Mnogu\Mnogu168.jpg,30.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\LJ\LJ88.jpg,28.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\DJ\DJ44.jpg,10.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Kolache\Kolache121.jpg,23.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Valkano\Valkano206.jpg,51.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zoshto\Zoshto205.jpg,57.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Javanje\Javanje113.jpg,21.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\I\I160.jpg,19.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Pritisok\Pritisok44.jpg,36.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\C\C99.jpg,5.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\U\U206.jpg,49.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zamenki\Zamenki113.jpg,55.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\N\N202.jpg,31.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\P\P125.jpg,34.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Vilushka\Vilushka55.jpg,52.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Jas\Jas183.jpg,20.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Korona\Korona171.jpg,24.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\CH\CH31.jpg,6.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Jas\Jas145.jpg,20.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sida\Sida109.jpg,43.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Vilushka\Vilushka64.jpg,52.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\V\V168.jpg,50.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Mnogu\Mnogu119.jpg,30.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Beskonechnost\Beskonechnost57.jpg,4.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sin\Sin75.jpg,44.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Z\Z121.jpg,53.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\C\C21.jpg,5.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Mnogu\Mnogu29.jpg,30.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\G\G83.jpg,17.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Centar\Centar102.jpg,7.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Peperutka\Peperutka10.jpg,35.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Mnogu\Mnogu67.jpg,30.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\U\U204.jpg,49.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\F\F58.jpg,15.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Peperutka\Peperutka33.jpg,35.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Vilushka\Vilushka146.jpg,52.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zoshto\Zoshto138.jpg,57.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Javanje\Javanje63.jpg,21.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\V\V208.jpg,50.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\A\A41.jpg,0.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Telefon\Telefon115.jpg,47.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Delenje\Delenje74.jpg,12.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\E\E62.jpg,14.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zholtica\Zholtica197.jpg,56.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Amin\Amin147.jpg,2.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\S\S90.jpg,40.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\M\M56.jpg,29.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\E\E93.jpg,14.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Jas\Jas10.jpg,20.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Rob\Rob153.jpg,39.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zoshto\Zoshto49.jpg,57.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Dopir\Dopir26.jpg,13.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Jas\Jas192.jpg,20.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\U\U32.jpg,49.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Delenje\Delenje66.jpg,12.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Amin\Amin181.jpg,2.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Rob\Rob74.jpg,39.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\T\T113.jpg,46.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Cvekje\Cvekje176.jpg,8.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\A\A123.jpg,0.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Dopir\Dopir175.jpg,13.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\L\L113.jpg,27.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\LJ\LJ51.jpg,28.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Javanje\Javanje33.jpg,21.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Jas\Jas138.jpg,20.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Centar\Centar95.jpg,7.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\LJ\LJ59.jpg,28.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Beskonechnost\Beskonechnost171.jpg,4.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\T\T187.jpg,46.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\F\F139.jpg,15.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sin\Sin115.jpg,44.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Javanje\Javanje139.jpg,21.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\P\P181.jpg,34.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sin\Sin101.jpg,44.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\NJ\NJ145.jpg,32.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\D\D11.jpg,9.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\P\P140.jpg,34.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Jas\Jas140.jpg,20.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Telefon\Telefon9.jpg,47.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\P\P38.jpg,34.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zamenki\Zamenki87.jpg,55.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\D\D19.jpg,9.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\K\K190.jpg,22.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\F\F13.jpg,15.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Valkano\Valkano84.jpg,51.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\B\B68.jpg,3.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\DJ\DJ23.jpg,10.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\U\U183.jpg,49.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Svekja\Svekja110.jpg,45.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Pritisok\Pritisok208.jpg,36.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Svekja\Svekja153.jpg,45.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Javanje\Javanje81.jpg,21.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\T\T169.jpg,46.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Telefon\Telefon67.jpg,47.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\E\E31.jpg,14.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Javanje\Javanje34.jpg,21.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\F\F151.jpg,15.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\LJ\LJ2.jpg,28.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\E\E165.jpg,14.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\DZ\DZ120.jpg,11.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\O\O50.jpg,33.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\T\T170.jpg,46.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Dopir\Dopir150.jpg,13.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Vilushka\Vilushka167.jpg,52.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\ZH\ZH132.jpg,54.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sever\Sever36.jpg,42.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\D\D115.jpg,9.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\K\K188.jpg,22.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\R\R206.jpg,38.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Cvekje\Cvekje30.jpg,8.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\B\B178.jpg,3.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zamenki\Zamenki115.jpg,55.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Valkano\Valkano140.jpg,51.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\ZH\ZH135.jpg,54.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sever\Sever112.jpg,42.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Dopir\Dopir159.jpg,13.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\O\O37.jpg,33.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\P\P91.jpg,34.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\H\H59.jpg,18.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zoshto\Zoshto75.jpg,57.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\L\L104.jpg,27.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Delenje\Delenje72.jpg,12.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zamenki\Zamenki50.jpg,55.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\R\R127.jpg,38.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\C\C30.jpg,5.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\NJ\NJ122.jpg,32.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\K\K180.jpg,22.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\DJ\DJ166.jpg,10.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\LJ\LJ202.jpg,28.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Prst\Prst148.jpg,37.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\S\S95.jpg,40.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\C\C89.jpg,5.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Amin\Amin92.jpg,2.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Kukja\Kukja111.jpg,26.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\SH\SH160.jpg,41.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Javanje\Javanje158.jpg,21.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Rob\Rob141.jpg,39.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sin\Sin197.jpg,44.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\T\T148.jpg,46.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\C\C80.jpg,5.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\TojTaaToa\TojTaaToa201.jpg,48.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\U\U9.jpg,49.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\A\A102.jpg,0.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\N\N35.jpg,31.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\F\F82.jpg,15.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Prst\Prst87.jpg,37.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Kukja\Kukja158.jpg,26.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Centar\Centar99.jpg,7.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\R\R31.jpg,38.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Peperutka\Peperutka113.jpg,35.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Krst\Krst30.jpg,25.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\N\N43.jpg,31.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Agol\Agol80.jpg,1.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Korona\Korona148.jpg,24.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Vilushka\Vilushka31.jpg,52.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\K\K155.jpg,22.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\S\S144.jpg,40.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\U\U128.jpg,49.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\T\T87.jpg,46.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Dopir\Dopir178.jpg,13.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\CH\CH112.jpg,6.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\V\V44.jpg,50.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\M\M99.jpg,29.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Cvekje\Cvekje2.jpg,8.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\O\O106.jpg,33.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sida\Sida66.jpg,43.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Kukja\Kukja113.jpg,26.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Jas\Jas99.jpg,20.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Korona\Korona23.jpg,24.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Delenje\Delenje94.jpg,12.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\D\D92.jpg,9.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\CH\CH198.jpg,6.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\A\A70.jpg,0.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Prst\Prst180.jpg,37.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\S\S14.jpg,40.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Cvekje\Cvekje163.jpg,8.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\K\K76.jpg,22.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\A\A160.jpg,0.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Prst\Prst34.jpg,37.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\O\O114.jpg,33.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\TojTaaToa\TojTaaToa189.jpg,48.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\L\L122.jpg,27.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Delenje\Delenje38.jpg,12.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zamenki\Zamenki204.jpg,55.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\TojTaaToa\TojTaaToa99.jpg,48.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Beskonechnost\Beskonechnost123.jpg,4.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Dopir\Dopir137.jpg,13.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\I\I103.jpg,19.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\SH\SH49.jpg,41.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Centar\Centar5.jpg,7.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\DZ\DZ67.jpg,11.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\I\I206.jpg,19.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\C\C161.jpg,5.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\S\S45.jpg,40.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Valkano\Valkano202.jpg,51.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zamenki\Zamenki88.jpg,55.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\M\M202.jpg,29.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sida\Sida96.jpg,43.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\DZ\DZ172.jpg,11.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Jas\Jas126.jpg,20.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Mnogu\Mnogu96.jpg,30.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Svekja\Svekja64.jpg,45.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\O\O47.jpg,33.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Svekja\Svekja81.jpg,45.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Sin\Sin133.jpg,44.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\V\V85.jpg,50.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Krst\Krst3.jpg,25.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\K\K47.jpg,22.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Telefon\Telefon39.jpg,47.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Peperutka\Peperutka70.jpg,35.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zoshto\Zoshto20.jpg,57.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Z\Z38.jpg,53.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\S\S189.jpg,40.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\I\I128.jpg,19.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Krst\Krst203.jpg,25.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\LJ\LJ91.jpg,28.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\NJ\NJ22.jpg,32.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Beskonechnost\Beskonechnost161.jpg,4.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Zoshto\Zoshto84.jpg,57.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\ZH\ZH163.jpg,54.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Agol\Agol136.jpg,1.0
C:\Users\Ivona\Desktop\MacedonianSignLanguage\input\preprocessed_image\Pritisok\Pritisok118.jpg,36.0
